Variable,Control,Small Left,Medium Left,Large Left,Small Right,Medium Right,Large Right
Episode Reward,"280.388 ± 0.456 [280.175, 280.601]","280.675 ± 0.361 [280.506, 280.844]","280.975 ± 0.536 [280.724, 281.226]","220.573 ± 184.168 [134.380, 306.767]","280.136 ± 0.461 [279.920, 280.352]","190.546 ± 219.145 [87.983, 293.109]","-17.698 ± 307.018 [-161.386, 125.991]"
Episode Duration,"174.400 ± 0.821 [174.016, 174.784]","173.750 ± 0.851 [173.352, 174.148]","173.350 ± 0.988 [172.888, 173.812]","166.850 ± 24.090 [155.575, 178.125]","174.300 ± 0.801 [173.925, 174.675]","162.800 ± 28.230 [149.588, 176.012]","130.150 ± 47.864 [107.749, 152.551]"
Path Length,"8.386 ± 0.041 [8.366, 8.405]","8.353 ± 0.045 [8.332, 8.374]","8.334 ± 0.051 [8.310, 8.357]","8.008 ± 1.205 [7.445, 8.572]","8.380 ± 0.040 [8.362, 8.399]","7.806 ± 1.410 [7.145, 8.466]","6.174 ± 2.393 [5.054, 7.294]"
Mean Speed,"0.962 ± 0.000 [0.962, 0.962]","0.962 ± 0.000 [0.962, 0.962]","0.962 ± 0.000 [0.962, 0.962]","0.959 ± 0.009 [0.955, 0.964]","0.962 ± 0.000 [0.962, 0.962]","0.958 ± 0.011 [0.953, 0.963]","0.942 ± 0.021 [0.932, 0.952]"
Maximum Speed,"1.000 ± 0.000 [1.000, 1.000]","1.000 ± 0.000 [1.000, 1.000]","1.000 ± 0.000 [1.000, 1.000]","1.000 ± 0.000 [1.000, 1.000]","1.000 ± 0.000 [1.000, 1.000]","1.000 ± 0.000 [1.000, 1.000]","1.000 ± 0.000 [1.000, 1.000]"
Peak Lateral Velocity,"0.663 ± 0.032 [0.648, 0.678]","0.660 ± 0.035 [0.644, 0.676]","0.663 ± 0.019 [0.654, 0.672]","0.666 ± 0.021 [0.656, 0.676]","0.667 ± 0.015 [0.660, 0.674]","0.666 ± 0.017 [0.658, 0.674]","0.674 ± 0.008 [0.670, 0.678]"
Maximum Heading Deviation,"0.793 ± 0.012 [0.788, 0.799]","0.796 ± 0.009 [0.791, 0.800]","0.793 ± 0.008 [0.790, 0.797]","0.795 ± 0.007 [0.792, 0.798]","0.793 ± 0.007 [0.790, 0.796]","0.791 ± 0.008 [0.788, 0.795]","0.796 ± 0.010 [0.791, 0.800]"
Final Lateral Error,"0.137 ± 0.011 [0.132, 0.142]","0.138 ± 0.017 [0.130, 0.146]","0.138 ± 0.017 [0.130, 0.146]","0.273 ± 0.401 [0.085, 0.461]","0.141 ± 0.012 [0.135, 0.146]","0.334 ± 0.475 [0.112, 0.556]","0.678 ± 0.545 [0.423, 0.933]"
