Variable,Comparison,U,p_raw,Rank-biserial r,p_adj,Significant
Mean Speed,L2 vs L3,0.0,< 0.001,-1.000,< 0.001,Yes
Mean Speed,L2 vs R1,303.0,0.006,0.515,0.019,Yes
Mean Speed,L2 vs R2,400.0,< 0.001,1.000,< 0.001,Yes
Mean Speed,L2 vs R3,400.0,< 0.001,1.000,< 0.001,Yes
Mean Speed,L3 vs R1,393.0,< 0.001,0.965,< 0.001,Yes
Mean Speed,L3 vs R2,400.0,< 0.001,1.000,< 0.001,Yes
Mean Speed,L3 vs R3,400.0,< 0.001,1.000,< 0.001,Yes
Mean Speed,R1 vs R2,381.0,< 0.001,0.905,< 0.001,Yes
Mean Speed,R1 vs R3,394.0,< 0.001,0.970,< 0.001,Yes
Mean Speed,R2 vs R3,353.0,< 0.001,0.765,< 0.001,Yes
Peak Lateral Velocity,P0 vs L1,138.0,0.096,-0.310,0.770,No
Peak Lateral Velocity,P0 vs L2,0.0,< 0.001,-1.000,< 0.001,Yes
Peak Lateral Velocity,P0 vs L3,0.0,< 0.001,-1.000,< 0.001,Yes
Peak Lateral Velocity,P0 vs R1,198.0,0.968,-0.010,1.000,No
Peak Lateral Velocity,P0 vs R2,190.0,0.797,-0.050,1.000,No
Peak Lateral Velocity,P0 vs R3,209.0,0.818,0.045,1.000,No
Peak Lateral Velocity,L1 vs L2,0.0,< 0.001,-1.000,< 0.001,Yes
Peak Lateral Velocity,L1 vs L3,0.0,< 0.001,-1.000,< 0.001,Yes
Peak Lateral Velocity,L1 vs R1,265.0,0.081,0.325,0.729,No
Peak Lateral Velocity,L1 vs R2,260.0,0.108,0.300,0.770,No
Peak Lateral Velocity,L1 vs R3,271.0,0.057,0.355,0.565,No
Peak Lateral Velocity,L2 vs L3,0.0,< 0.001,-1.000,< 0.001,Yes
Peak Lateral Velocity,L2 vs R1,400.0,< 0.001,1.000,< 0.001,Yes
Peak Lateral Velocity,L2 vs R2,400.0,< 0.001,1.000,< 0.001,Yes
Peak Lateral Velocity,L2 vs R3,400.0,< 0.001,1.000,< 0.001,Yes
Peak Lateral Velocity,L3 vs R1,400.0,< 0.001,1.000,< 0.001,Yes
Peak Lateral Velocity,L3 vs R2,400.0,< 0.001,1.000,< 0.001,Yes
Peak Lateral Velocity,L3 vs R3,400.0,< 0.001,1.000,< 0.001,Yes
Peak Lateral Velocity,R1 vs R2,189.0,0.776,-0.055,1.000,No
Peak Lateral Velocity,R1 vs R3,211.0,0.776,0.055,1.000,No
Peak Lateral Velocity,R2 vs R3,227.0,0.473,0.135,1.000,No
Maximum Heading Deviation,P0 vs L1,110.0,0.015,-0.450,0.139,No
Maximum Heading Deviation,P0 vs L2,0.0,< 0.001,-1.000,< 0.001,Yes
Maximum Heading Deviation,P0 vs L3,0.0,< 0.001,-1.000,< 0.001,Yes
Maximum Heading Deviation,P0 vs R1,186.0,0.715,-0.070,1.000,No
Maximum Heading Deviation,P0 vs R2,194.0,0.882,-0.030,1.000,No
Maximum Heading Deviation,P0 vs R3,229.0,0.441,0.145,1.000,No
Maximum Heading Deviation,L1 vs L2,0.0,< 0.001,-1.000,< 0.001,Yes
Maximum Heading Deviation,L1 vs L3,0.0,< 0.001,-1.000,< 0.001,Yes
Maximum Heading Deviation,L1 vs R1,270.0,0.060,0.350,0.421,No
Maximum Heading Deviation,L1 vs R2,289.0,0.017,0.445,0.139,No
Maximum Heading Deviation,L1 vs R3,300.0,0.007,0.500,0.071,No
Maximum Heading Deviation,L2 vs L3,0.0,< 0.001,-1.000,< 0.001,Yes
Maximum Heading Deviation,L2 vs R1,400.0,< 0.001,1.000,< 0.001,Yes
Maximum Heading Deviation,L2 vs R2,400.0,< 0.001,1.000,< 0.001,Yes
Maximum Heading Deviation,L2 vs R3,400.0,< 0.001,1.000,< 0.001,Yes
